UID          PID    PPID  C STIME TTY          TIME CMD
root         272       2  0 14:54 ?        00:00:00 [scsi_tmf_13]
root         273       2  0 14:54 ?        00:00:00 [scsi_eh_14]
root         274       2  0 14:54 ?        00:00:00 [nvme-wq]
root         275       2  0 14:54 ?        00:00:00 [scsi_tmf_14]
root         276       2  0 14:54 ?        00:00:00 [nvme-reset-wq]
root         277       2  0 14:54 ?        00:00:00 [nvme-delete-wq]
root         278       2  0 14:54 ?        00:00:00 [scsi_eh_15]
root         279       2  0 14:54 ?        00:00:00 [scsi_tmf_15]
root         280       2  0 14:54 ?        00:00:00 [scsi_eh_16]
root         281       2  0 14:54 ?        00:00:00 [scsi_tmf_16]
root         282       2  0 14:54 ?        00:00:00 [scsi_eh_17]
root         283       2  0 14:54 ?        00:00:00 [scsi_tmf_17]
root         284       2  0 14:54 ?        00:00:00 [scsi_eh_18]
root         285       2  0 14:54 ?        00:00:00 [scsi_tmf_18]
root         286       2  0 14:54 ?        00:00:00 [scsi_eh_19]
root         287       2  0 14:54 ?        00:00:00 [scsi_tmf_19]
root         288       2  0 14:54 ?        00:00:00 [scsi_eh_20]
root         289       2  0 14:54 ?        00:00:00 [scsi_tmf_20]
root         290       2  0 14:54 ?        00:00:00 [scsi_eh_21]
root         291       2  0 14:54 ?        00:00:00 [scsi_tmf_21]
root         292       2  0 14:54 ?        00:00:00 [scsi_eh_22]
root         293       2  0 14:54 ?        00:00:00 [scsi_tmf_22]
root         294       2  0 14:54 ?        00:00:00 [scsi_eh_23]
root         295       2  0 14:54 ?        00:00:00 [scsi_tmf_23]
root         296       2  0 14:54 ?        00:00:00 [scsi_eh_24]
root         297       2  0 14:54 ?        00:00:00 [scsi_tmf_24]
root         298       2  0 14:54 ?        00:00:00 [scsi_eh_25]
root         299       2  0 14:54 ?        00:00:00 [scsi_tmf_25]
root         300       2  0 14:54 ?        00:00:00 [scsi_eh_26]
root         301       2  0 14:54 ?        00:00:00 [scsi_tmf_26]
root         302       2  0 14:54 ?        00:00:00 [scsi_eh_27]
root         303       2  0 14:54 ?        00:00:00 [scsi_tmf_27]
root         304       2  0 14:54 ?        00:00:00 [scsi_eh_28]
root         305       2  0 14:54 ?        00:00:00 [scsi_tmf_28]
root         306       2  0 14:54 ?        00:00:00 [scsi_eh_29]
root         307       2  0 14:54 ?        00:00:00 [scsi_tmf_29]
root         334       2  0 14:54 ?        00:00:00 [kworker/u8:29-events_unbound]
root         382       2  0 14:54 ?        00:00:00 [jbd2/nvme0n1p2-8]
root         383       2  0 14:54 ?        00:00:00 [ext4-rsv-conver]
root         440       1  0 14:54 ?        00:00:00 /lib/systemd/systemd-journald
root         458       1  0 14:54 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         461       1  0 14:54 ?        00:00:00 /lib/systemd/systemd-udevd
root         462       2  0 14:54 ?        00:00:00 [psimon]
root         485       2  0 14:54 ?        00:00:00 [psimon]
root         633       1  0 14:54 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
systemd+     635       1  0 14:54 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         637       1  0 14:54 ?        00:00:05 /usr/bin/vmtoolsd
root         660       2  0 14:54 ?        00:00:00 [psimon]
message+     667       1  0 14:54 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      672       1  0 14:54 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         688       1  0 14:54 ?        00:00:00 /lib/systemd/systemd-logind
root         711       1  0 14:54 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         754       2  0 14:54 ?        00:00:00 [psimon]
root         792       1  0 14:54 ?        00:00:00 /usr/sbin/ModemManager
root         933       2  0 14:54 ?        00:00:00 [rpciod]
root         934       2  0 14:54 ?        00:00:00 [xprtiod]
root         936       1  0 14:54 ?        00:00:00 /usr/sbin/cron -f
root         950       1  0 14:54 ?        00:00:00 /usr/sbin/lightdm
root        1093     950  1 14:54 tty7     00:00:45 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1094       1  0 14:54 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1146       2  0 14:54 ?        00:00:00 [psimon]
rtkit       1176       1  0 14:54 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1257     950  0 14:54 ?        00:00:00 lightdm --session-child 15 22
kevj02      1264       1  0 14:54 ?        00:00:00 /lib/systemd/systemd --user
kevj02      1265    1264  0 14:54 ?        00:00:00 (sd-pam)
root        1279       2  0 14:54 ?        00:00:00 [psimon]
kevj02      1281    1264  0 14:54 ?        00:00:00 /usr/bin/pipewire
kevj02      1282    1264  0 14:54 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
kevj02      1283    1264  0 14:54 ?        00:00:00 /usr/bin/wireplumber
kevj02      1284    1264  0 14:54 ?        00:00:00 /usr/bin/pipewire-pulse
kevj02      1287    1264  0 14:54 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kevj02      1288    1264  0 14:54 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kevj02      1310    1257  0 14:54 ?        00:00:00 xfce4-session
kevj02      1358    1310  0 14:54 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
kevj02      1368    1264  0 14:54 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kevj02      1375    1368  0 14:54 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
kevj02      1386    1264  0 14:54 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kevj02      1399    1264  0 14:54 ?        00:00:00 /usr/bin/gpg-agent --supervised
kevj02      1401    1310  0 14:54 ?        00:00:03 xfwm4 --display :0.0 --sm-client-id 2100b5ae4-da8b-45ac-b8c4-38b3028f48b8
kevj02      1405    1264  0 14:54 ?        00:00:00 /usr/libexec/gvfsd
kevj02      1411    1264  0 14:54 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kevj02      1435    1310  0 14:54 ?        00:00:00 xfsettingsd --display :0.0 --sm-client-id 25bd19a6e-0e86-49a5-8d6f-04ac77dd95f5
root        1439       1  0 14:54 ?        00:00:00 /usr/libexec/upowerd
kevj02      1445    1310  0 14:54 ?        00:00:00 xfce4-panel --display :0.0 --sm-client-id 2f0c734cb-8686-4e8e-9816-c0381ee284e1
kevj02      1450    1310  0 14:54 ?        00:00:00 Thunar --sm-client-id 20fb3cc94-a5ff-4724-9bce-fa8368e7c85c --daemon
kevj02      1456    1310  0 14:54 ?        00:00:00 xfdesktop --display :0.0 --sm-client-id 2f2558040-bc8e-40b0-b9a8-dbb4ead1d1ee
kevj02      1460    1264  0 14:54 ?        00:00:00 /usr/libexec/xdg-permission-store
kevj02      1461    1445  0 14:54 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
kevj02      1469    1445  0 14:54 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777231 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kevj02      1470    1445  0 14:54 ?        00:00:09 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777232 genmon Generic Monitor Show output of a command.
kevj02      1471    1445  0 14:54 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777233 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kevj02      1472    1445  0 14:54 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777234 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kevj02      1473    1445  0 14:54 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777235 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kevj02      1477    1445  0 14:54 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777236 actions Action Buttons Log out, lock or other system actions
kevj02      1506    1264  0 14:54 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kevj02      1533    1310  0 14:54 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 20284183c-f4c2-4f56-9d8e-43436af11a6e
kevj02      1559    1264  0 14:54 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
kevj02      1562    1310  0 14:54 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kevj02      1566       1  0 14:54 ?        00:00:00 xcape -e Super_L Control_L Escape
kevj02      1568    1310  0 14:54 ?        00:00:00 light-locker
kevj02      1572    1310  0 14:54 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kevj02      1586    1310  0 14:54 ?        00:00:00 nm-applet
root        1594       1  0 14:54 ?        00:00:00 /usr/libexec/udisks2/udisksd
kevj02      1598    1310  0 14:54 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kevj02      1599    1264  0 14:54 ?        00:00:00 /usr/libexec/dconf-service
kevj02      1629    1310  0 14:54 ?        00:00:00 xiccd
kevj02      1641       1  0 14:54 ?        00:00:05 /usr/bin/vmtoolsd -n vmusr --blockFd 3
colord      1655       1  0 14:54 ?        00:00:00 /usr/libexec/colord
kevj02      1721    1264  0 14:54 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kevj02      1738    1264  0 14:54 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kevj02      1745    1264  0 14:54 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kevj02      1768    1264  0 14:54 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kevj02      1785    1405  0 14:54 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kevj02      1791    1264  0 14:54 ?        00:00:00 /usr/libexec/gvfsd-metadata
kevj02      1812    1264  0 14:54 ?        00:00:00 /usr/libexec/bluetooth/obexd
root        9083       2  0 15:09 ?        00:00:00 [kworker/3:2-events]
root        9256       2  0 15:09 ?        00:00:00 [kworker/u8:0-writeback]
root       10642       2  0 15:12 ?        00:00:00 [kworker/1:0]
root       16706       2  0 15:24 ?        00:00:00 [kworker/0:1]
kevj02     19835       1  0 15:30 ?        00:00:10 /usr/bin/qterminal
kevj02     19838   19835  0 15:30 pts/0    00:00:05 /usr/bin/zsh
root       24169       2  0 15:39 ?        00:00:00 [kworker/3:1-cgroup_destroy]
root       24210       2  0 15:39 ?        00:00:00 [kworker/u8:1-flush-259:0]
root       26293       2  0 15:43 ?        00:00:00 [kworker/2:0-events]
root       29158       2  0 15:48 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
kevj02     30138    1264  0 15:50 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
kevj02     30765   19838  0 15:51 pts/0    00:00:00 ps -ef
